URI,Method,User-agent,Body
/qqconnectopen/openapi/policy_conf?status_os=6.0.1&status_version=23&status_machine=MI+4LTE&sdkp=a&sdkv=2.9.2&appid=1104466820,GET,AndroidSDK_23_cancro_6.0.1,
/analytics/async,POST,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),"˘„ÎDEÂc <""¥<†¡–fÛn¥≥ÕÒ–∑≤N‰ÚHŒÊÃ4çM˛≥ñmKUê)WÍY˛5Ñ6XFUÔ˛‚⁄Œ˝PÓ◊˛íg‰BUÕ]πy¬ÙMàøÉzF‚ô¢í0˝-pøÇı§¢ìÕæó›IŸﬂl^Úílƒ“¶x4@à‘†RÕG⁄iy+b÷MNoF˘'…<®øΩ˜“}*Ä≥æc¯≈°eΩVâ›$ÀŸÙ?Ì3ã"
/pass/v2/safe/user/coreInfo?signature=N%2FS8bmBWN7%2BvAOupe6q6OrpqRDc%3D&userId=CFcper828yxKzrJJ%2BLgeYQ%3D%3D,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/,POST,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),"˘‘∏{î4√øizB9œ◊‡ iJåË,IrÛ´W‚—“∞‡ÄgãV¯™•“Yˇl‡öÈ|æŒÛ)S	cÄ2n=„À
-Æ”w*≤*/et4Y£6ãiπf&%jÛX‹,‰t√,å‰ÒâÉwÏàã√yª"
/,POST,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),PXÜ∆Pˆ®÷Ó§aÒ±5òR
/api/v1/client/config/sdk_udp,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/gamer/version,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/gamer/sdk/nodes,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/tws/flowpackage/QueryOrderRelation?OutUid=owanlslj349maE7vW_N9cEwK7n4s&OutUidType=1&Timestamp=63600142136&Channel=1100_WzryApp&Token=2c55e082430f357a50005289aa42816e,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/yywj/feiyingtu5yue/wcg.jpg,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/yywj/feiyingtu5yue/fkdz0529.jpg,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/Banner/img/Loading/6.png,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/Banner/img/Mall/0524_v12_04.jpg,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/Banner/img/Mall/0112_v9_04.jpg,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/Banner/img/Mall/0511_v12_08.jpg,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/mmopen/6iaDgHPRQpXmTbZET29qKbxU44ib7jaNianXHeDRonDTCqNib9ic3GPjXyA71RNeKq6U8icyUrZY8on6WL5Lmjic7HmpA/96,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/cgi-bin/api/tplay/wx95a3a4d7c627e07d_cloud.cgi?openid=owanlslj349maE7vW_N9cEwK7n4s&partition=3068&gameappversion=1.12.1.7&areaid=3&appid=wx95a3a4d7c627e07d&acctype=wx&platid=1&sdkversion=YXZJ-Android-V0.4&_pdr_time=1464516549,POST,Pandora(YXZJ-Android-V0.4),"{""data"":""ypS4f/+/gqc83Wsxilpm1ljrojoJO2c2T644H7k4uAaltr+RHT9QON6wfbWD/5Yv22Fl/K8uKOei6LPT6G6GtnhNz7IFx+vrx01UEan8VGIVV36wfIOkNHyLPrmLOYiYgO9sZ5yF6kylUrLmoVwPbTWb1ULgK36DOCFRwZ8yeM1xxrITBBEYOqOBWp0Hqc4MnpEsuNHUNyKJfxE70grRaobWDzJWVpyMLYdTt4CQVHtFWHIlXO9jAkyaWJIedUA/FoNhR7eCsseyI1km7yZGLg=="",""encrypt"" : ""true""}"
/mmopen/ajNVdqHZLLB1gvsX8E9LvRRZkYvBKGE4fwBQ7ajtwoqN9GSCQNy5pC47dLFmBs8b53AsibrGaBf5xK8ReoC2tKA/96,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/mmopen/Q3auHgzwzM4qRHgwibGXKuozbkzpwW2CibTofsWKaLMJWGDz5sz8uYo1AEfpRSFbEltN4Dln1oDlvp7nvwMC80tA/96,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
/mmopen/GMZ6juZ7BCgIqpvhoaz4DO1r6xichrKc2O0zjunBiaQT3UeZz3sdicZS3AwZjkyRQoZvqH5YKVM5l28EicosHY6x2WicFVYntib7pv/96,GET,Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/666.4.14),
